"Date :",12/10/22 14:30:25
"Motion Threshold (au):",18
"Detection Method:","Linear"
"Min Freeze Duration (f):",30



Component Details
"Component Name","Start Time","Duration (s)","Start Frame","Duration Frames"
"pre-tone"," 0:00:00.000",120,0,3600
"tone 01"," 0:02:00.000",25,3600,750
"tone 02"," 0:03:15.000",25,5850,750
"tone 03"," 0:04:02.000",25,7260,750
"tone 04"," 0:04:47.000",25,8610,750
"post-tone"," 0:05:12.000",120,9360,3600

"Experiment","Trial","Box","Animal","Group","Component Name","Freeze Cnt","Time Freezing","Pct Total Time Freezing","Pct Component Time Freezing","Avg Motion Index","Min Motion Index","Max Motion Index"
"VF121022_SR","1",Chamber 1,"","","pre-tone",26,44.200,10.23,36.83,22.61,0,498
"VF121022_SR","1",Chamber 1,"","","tone 01",4,22.867,5.29,91.47,2.30,0,181
"VF121022_SR","1",Chamber 1,"","","tone 02",2,24.367,5.64,97.47,1.08,0,105
"VF121022_SR","1",Chamber 1,"","","tone 03",7,19.400,4.49,77.60,10.78,0,402
"VF121022_SR","1",Chamber 1,"","","tone 04",4,23.233,5.38,92.93,2.06,0,106
"VF121022_SR","1",Chamber 1,"","","post-tone",21,53.633,12.42,44.69,35.44,0,793

"VF121022_SR","1",Chamber 2,"","","pre-tone",23,32.400,7.50,27.00,35.55,0,704
"VF121022_SR","1",Chamber 2,"","","tone 01",3,3.367,0.78,13.47,17.91,0,229
"VF121022_SR","1",Chamber 2,"","","tone 02",7,11.433,2.65,45.73,19.85,0,306
"VF121022_SR","1",Chamber 2,"","","tone 03",10,14.333,3.32,57.33,8.05,0,154
"VF121022_SR","1",Chamber 2,"","","tone 04",6,7.033,1.63,28.13,24.25,0,326
"VF121022_SR","1",Chamber 2,"","","post-tone",25,37.933,8.78,31.61,36.01,0,596

"VF121022_SR","1",Chamber 3,"","","pre-tone",6,7.100,1.64,5.92,125.20,0,1065
"VF121022_SR","1",Chamber 3,"","","tone 01",1,21.500,4.98,86.00,7.59,0,367
"VF121022_SR","1",Chamber 3,"","","tone 02",4,15.867,3.67,63.47,21.60,0,327
"VF121022_SR","1",Chamber 3,"","","tone 03",5,11.733,2.72,46.93,33.91,0,606
"VF121022_SR","1",Chamber 3,"","","tone 04",4,5.200,1.20,20.80,41.93,0,387
"VF121022_SR","1",Chamber 3,"","","post-tone",14,25.100,5.81,20.92,94.85,0,976

"VF121022_SR","1",Chamber 4,"","","pre-tone",25,46.000,10.65,38.33,31.83,0,556
"VF121022_SR","1",Chamber 4,"","","tone 01",4,21.200,4.91,84.80,3.48,0,109
"VF121022_SR","1",Chamber 4,"","","tone 02",4,18.100,4.19,72.40,5.65,0,119
"VF121022_SR","1",Chamber 4,"","","tone 03",6,19.833,4.59,79.33,4.66,0,164
"VF121022_SR","1",Chamber 4,"","","tone 04",8,22.067,5.11,88.27,1.95,0,64
"VF121022_SR","1",Chamber 4,"","","post-tone",18,36.867,8.53,30.72,29.72,0,490

"VF121022_SR","2",Chamber 1,"","","pre-tone",10,16.467,3.81,13.72,120.19,0,1347
"VF121022_SR","2",Chamber 1,"","","tone 01",7,19.800,4.58,79.20,12.93,0,358
"VF121022_SR","2",Chamber 1,"","","tone 02",7,14.667,3.40,58.67,16.33,0,203
"VF121022_SR","2",Chamber 1,"","","tone 03",5,21.067,4.88,84.27,3.77,0,107
"VF121022_SR","2",Chamber 1,"","","tone 04",5,13.900,3.22,55.60,9.69,0,138
"VF121022_SR","2",Chamber 1,"","","post-tone",25,48.767,11.29,40.64,71.56,0,1029

"VF121022_SR","2",Chamber 2,"","","pre-tone",11,14.833,3.43,12.36,142.47,0,1177
"VF121022_SR","2",Chamber 2,"","","tone 01",4,21.467,4.97,85.87,3.51,0,225
"VF121022_SR","2",Chamber 2,"","","tone 02",6,24.067,5.57,96.27,2.99,0,139
"VF121022_SR","2",Chamber 2,"","","tone 03",9,18.233,4.22,72.93,11.37,0,212
"VF121022_SR","2",Chamber 2,"","","tone 04",10,21.633,5.01,86.53,4.27,0,86
"VF121022_SR","2",Chamber 2,"","","post-tone",17,26.267,6.08,21.89,70.20,0,917

"VF121022_SR","2",Chamber 3,"","","pre-tone",15,24.733,5.73,20.61,70.00,0,780
"VF121022_SR","2",Chamber 3,"","","tone 01",3,24.833,5.75,99.33,0.37,0,67
"VF121022_SR","2",Chamber 3,"","","tone 02",4,22.733,5.26,90.93,3.56,0,97
"VF121022_SR","2",Chamber 3,"","","tone 03",4,20.167,4.67,80.67,10.87,0,207
"VF121022_SR","2",Chamber 3,"","","tone 04",4,18.000,4.17,72.00,13.82,0,351
"VF121022_SR","2",Chamber 3,"","","post-tone",35,48.667,11.27,40.56,16.10,0,255

"VF121022_SR","2",Chamber 4,"","","pre-tone",14,21.967,5.08,18.31,106.51,0,1208
"VF121022_SR","2",Chamber 4,"","","tone 01",8,20.167,4.67,80.67,6.93,0,248
"VF121022_SR","2",Chamber 4,"","","tone 02",7,20.267,4.69,81.07,3.78,0,103
"VF121022_SR","2",Chamber 4,"","","tone 03",9,12.867,2.98,51.47,13.31,0,234
"VF121022_SR","2",Chamber 4,"","","tone 04",3,5.800,1.34,23.20,43.86,0,370
"VF121022_SR","2",Chamber 4,"","","post-tone",20,29.367,6.80,24.47,82.73,0,1209

